鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
735,9,2894,440,11,25,129,2,131,2,68,2,1693,226,0,0,28,30,15,37,5,19,1,24,3,3,0,0,43,225,821,319,高雄市苓雅區
736,5,218,34,0,0,16,0,8,1,5,0,91,54,1,0,2,4,0,0,0,0,0,2,0,0,0,0,0,8,65,37,高雄市前鎮區
737,1,64,8,0,0,6,0,6,0,1,2,29,2,0,0,0,3,3,3,0,0,0,0,1,0,0,0,2,2,11,8,高雄市旗津區
738,4,780,117,0,5,43,0,36,0,23,0,484,29,0,0,7,11,1,9,0,3,0,11,1,0,0,0,6,24,181,22,高雄市小港區
1101,2,50,8,0,0,3,0,2,0,1,0,15,13,0,0,2,2,0,1,1,1,0,1,0,0,0,0,1,5,37,11,基隆市中正區
1103,1,106,14,0,1,5,0,2,2,5,0,41,25,0,1,2,2,3,0,0,0,0,3,0,0,0,0,1,22,35,10,基隆市暖暖區
1104,1,161,31,0,2,10,0,8,2,10,0,70,19,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,8,45,64,基隆市仁愛區
1106,2,1329,275,13,18,64,1,44,0,34,0,712,92,0,0,14,12,2,10,2,5,0,26,4,1,0,0,12,56,304,28,基隆市安樂區
1107,2,590,79,5,5,32,0,26,1,15,0,336,32,0,0,7,17,5,15,2,5,0,5,1,2,0,0,12,13,258,40,基隆市信義區
1201,3,1449,212,0,14,65,0,63,0,52,0,917,67,0,0,11,16,2,10,0,3,0,14,2,1,0,0,9,99,378,152,新竹市東區
1204,5,1371,218,1,10,56,3,67,2,44,2,821,82,0,0,11,15,6,14,1,5,0,9,3,1,0,0,12,49,223,243,新竹市北區
2201,4,2909,421,20,22,141,2,128,2,97,0,1711,178,0,3,24,40,18,31,1,13,1,42,8,5,1,0,75,584,949,282,嘉義市東區
2202,8,1008,133,5,3,43,0,35,0,31,1,519,126,0,0,13,30,8,26,3,6,0,22,2,2,0,0,20,31,304,133,嘉義市西區
3101,8,2490,458,1,17,129,0,97,1,88,2,1409,154,0,1,19,35,9,20,0,5,1,36,6,2,0,0,17,175,386,144,新北市板橋區
3102,5,778,95,11,2,46,1,31,2,28,3,340,150,0,0,7,21,4,15,0,3,0,12,7,0,0,0,6,24,284,71,新北市三重區
3103,4,605,100,0,11,25,3,24,0,22,0,300,71,0,1,6,18,4,8,0,2,0,6,3,1,0,0,10,36,207,34,新北市永和區
3104,7,1768,288,2,38,93,0,59,2,70,0,979,110,0,0,19,32,6,24,0,5,0,30,6,3,1,1,10,43,434,239,新北市中和區
3105,6,2610,474,20,37,121,1,113,1,92,0,1446,161,0,0,20,38,5,23,0,14,0,35,5,4,0,0,34,259,560,395,新北市新店區
3106,8,1218,189,6,4,67,0,56,0,36,1,622,121,0,0,16,34,2,30,2,7,0,17,7,1,0,0,18,110,246,235,新北市新莊區
3107,1,173,23,0,1,8,0,7,0,8,0,83,30,0,0,2,6,0,2,0,0,0,3,0,0,0,0,1,10,41,33,新北市樹林區
3108,1,12,2,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,新北市鶯歌區
3109,3,880,116,10,11,43,1,33,1,22,0,540,46,0,0,6,12,0,15,0,5,0,12,5,2,0,0,11,37,188,5,新北市三峽區
3110,5,1618,281,0,6,68,1,77,0,41,0,984,55,0,0,15,10,1,18,6,12,4,33,4,2,0,0,25,172,221,303,新北市淡水區
3111,1,745,81,0,14,28,0,27,0,31,0,494,21,0,0,4,12,4,12,0,4,0,10,3,0,0,0,5,5,209,4,新北市汐止區
3112,1,34,4,0,0,4,0,3,0,1,0,10,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,11,4,新北市瑞芳區
3113,4,263,28,0,0,12,0,11,0,7,0,108,57,0,0,4,7,6,6,2,0,0,13,2,0,0,0,0,23,79,20,新北市土城區
3114,1,25,4,0,0,2,0,1,0,1,0,9,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,新北市蘆洲區
3121,1,15,2,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,8,4,新北市三芝區
3123,1,179,21,0,0,12,0,2,0,1,0,109,6,0,0,2,0,0,16,0,10,0,0,0,0,0,0,12,3,27,58,新北市八里區
3127,1,76,12,0,2,6,0,4,1,4,0,37,3,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,6,24,4,新北市金山區
3201,9,3321,420,3,12,135,0,170,4,101,2,1983,251,0,0,24,61,15,70,1,21,1,29,15,3,0,0,51,155,647,322,桃園市桃園區
3202,11,1030,160,4,9,67,0,45,1,36,0,457,161,0,0,7,25,21,19,2,0,0,9,7,0,0,0,3,63,373,92,桃園市中壢區
3204,2,526,69,0,8,29,0,29,1,20,0,267,70,0,0,4,9,7,5,2,0,0,5,1,0,0,0,4,25,219,29,桃園市楊梅區
